iter	Passed	Remaining
200	2622	10423
201	2637	10421
202	2653	10418
203	2669	10415
204	2684	10412
205	2699	10402
206	2712	10390
207	2726	10380
208	2738	10365
209	2755	10364
210	2770	10359
211	2783	10344
212	2796	10333
213	2809	10320
214	2824	10313
215	2839	10306
216	2853	10296
217	2866	10283
218	2879	10267
219	2892	10255
220	2911	10261
221	2925	10253
222	2938	10238
223	2950	10221
224	2966	10216
225	2980	10207
226	2997	10208
227	3011	10197
228	3024	10182
229	3038	10173
230	3054	10167
231	3071	10167
232	3087	10165
233	3102	10156
234	3117	10148
235	3135	10149
236	3151	10146
237	3165	10136
238	3179	10123
239	3194	10115
240	3208	10105
241	3224	10100
242	3238	10090
243	3252	10075
244	3265	10062
245	3279	10052
246	3293	10040
247	3308	10030
248	3320	10015
249	3333	9999
250	3346	9986
251	3359	9971
252	3373	9959
253	3388	9950
254	3401	9937
255	3413	9921
256	3427	9910
257	3441	9896
258	3453	9881
259	3468	9872
260	3481	9858
261	3494	9843
262	3507	9829
263	3521	9817
264	3534	9803
265	3551	9799
266	3563	9783
267	3576	9769
268	3590	9756
269	3605	9746
270	3620	9739
271	3633	9726
272	3647	9712
273	3660	9699
274	3676	9691
275	3690	9681
276	3706	9675
277	3722	9668
278	3736	9655
279	3750	9643
280	3763	9629
281	3780	9625
282	3796	9618
283	3811	9609
284	3825	9598
285	3842	9591
286	3856	9580
287	3871	9570
288	3887	9562
289	3901	9551
290	3915	9538
291	3929	9526
292	3943	9514
293	3956	9500
294	3969	9487
295	3983	9475
296	3997	9462
297	4013	9454
298	4027	9443
299	4041	9429
300	4054	9414
301	4069	9404
302	4087	9402
303	4101	9390
304	4115	9378
305	4129	9364
306	4143	9352
307	4157	9341
308	4173	9332
309	4188	9322
310	4201	9308
311	4215	9294
312	4228	9280
313	4247	9279
314	4261	9267
315	4274	9252
316	4288	9240
317	4303	9229
318	4318	9219
319	4334	9211
320	4347	9195
321	4361	9182
322	4374	9169
323	4390	9161
324	4405	9149
325	4419	9136
326	4432	9123
327	4446	9110
328	4461	9099
329	4476	9088
330	4489	9074
331	4502	9059
332	4516	9047
333	4530	9034
334	4544	9021
335	4562	9015
336	4575	9000
337	4587	8985
338	4602	8973
339	4617	8963
340	4632	8951
341	4646	8940
342	4660	8926
343	4673	8912
344	4687	8900
345	4704	8892
346	4719	8881
347	4733	8868
348	4747	8855
349	4761	8843
350	4774	8827
351	4789	8816
352	4802	8803
353	4816	8788
354	4828	8772
355	4842	8759
356	4859	8751
357	4930	8841
358	4955	8847
359	5019	8922
360	5070	8976
361	5097	8983
362	5111	8969
363	5127	8959
364	5143	8947
365	5157	8934
366	5172	8921
367	5221	8966
368	5257	8989
369	5282	8994
370	5305	8994
371	5337	9010
372	5373	9032
373	5395	9031
374	5420	9034
375	5453	9050
376	5479	9055
377	5508	9064
378	5538	9075
379	5557	9068
380	5579	9065
381	5595	9052
382	5617	9049
383	5635	9040
384	5652	9028
385	5667	9015
386	5681	8999
387	5698	8989
388	5714	8975
389	5731	8964
390	5746	8949
391	5762	8937
392	5779	8925
393	5794	8912
394	5808	8897
395	5822	8880
396	5836	8865
397	5850	8849
398	5867	8838
399	5885	8827
400	5899	8812
401	5912	8795
402	5931	8786
403	5949	8776
404	5962	8760
405	5977	8744
406	5990	8728
407	6003	8711
408	6018	8697
409	6031	8679
410	6044	8662
411	6058	8647
412	6072	8630
413	6088	8618
414	6104	8605
415	6119	8590
416	6131	8572
417	6145	8556
418	6158	8539
419	6172	8523
420	6187	8509
421	6201	8493
422	6214	8477
423	6229	8463
424	6245	8450
425	6261	8436
426	6275	8421
427	6291	8407
428	6306	8394
429	6322	8381
430	6338	8368
431	6353	8353
432	6366	8337
433	6379	8320
434	6393	8304
435	6409	8291
436	6423	8275
437	6437	8259
438	6450	8242
439	6462	8224
440	6475	8208
441	6489	8192
442	6504	8178
443	6518	8162
444	6531	8145
445	6543	8128
446	6558	8114
447	6575	8102
448	6593	8090
449	6607	8076
450	6620	8058
451	6634	8044
452	6650	8030
453	6666	8017
454	6681	8003
455	6695	7988
456	6709	7972
457	6723	7956
458	6739	7943
459	6754	7928
460	6768	7914
461	6782	7898
462	6796	7882
463	6810	7867
464	6826	7853
465	6838	7836
466	6851	7819
467	6867	7806
468	6882	7791
469	6903	7784
470	6918	7770
471	6932	7755
472	6945	7738
473	6958	7721
474	6973	7707
475	6986	7691
476	6999	7674
477	7012	7658
478	7025	7641
479	7038	7625
480	7054	7612
481	7069	7597
482	7082	7581
483	7096	7565
484	7110	7550
485	7124	7534
486	7138	7519
487	7153	7505
488	7167	7489
489	7179	7473
490	7193	7457
491	7208	7442
492	7221	7426
493	7234	7410
494	7247	7393
495	7261	7378
496	7275	7363
497	7290	7348
498	7303	7332
499	7315	7315
500	7328	7299
501	7344	7286
502	7363	7275
503	7386	7269
504	7407	7260
505	7425	7249
506	7441	7236
507	7462	7227
508	7479	7214
509	7494	7200
510	7515	7192
511	7535	7182
512	7550	7168
513	7566	7154
514	7582	7140
515	7596	7125
516	7611	7111
517	7628	7098
518	7641	7082
519	7655	7066
520	7668	7050
521	7683	7036
522	7696	7019
523	7710	7003
524	7722	6987
525	7735	6971
526	7749	6955
527	7762	6939
528	7778	6925
529	7790	6908
530	7803	6892
531	7817	6877
532	7832	6862
533	7849	6850
534	7863	6834
535	7878	6820
536	7897	6808
537	7914	6796
538	7930	6782
539	7945	6768
540	7964	6757
541	7977	6741
542	7991	6725
543	8008	6712
544	8026	6700
545	8042	6687
546	8061	6676
547	8080	6664
548	8096	6651
549	8113	6638
550	8136	6630
551	8151	6615
552	8167	6601
553	8185	6589
554	8205	6579
555	8227	6569
556	8245	6557
557	8261	6544
558	8281	6533
559	8297	6519
560	8317	6508
561	8337	6498
562	8353	6484
563	8371	6471
564	8387	6457
565	8406	6445
566	8421	6431
567	8436	6416
568	8459	6407
569	8488	6403
570	8514	6396
571	8531	6383
572	8547	6369
573	8565	6357
574	8582	6343
575	8602	6332
576	8623	6322
577	8646	6312
578	8664	6300
579	8679	6285
580	8694	6270
581	8708	6254
582	8723	6239
583	8739	6225
584	8756	6211
585	8770	6196
586	8783	6180
587	8799	6165
588	8812	6149
589	8827	6134
590	8841	6118
591	8854	6102
592	8868	6086
593	8881	6070
594	8895	6054
595	8909	6039
596	8922	6023
597	8938	6008
598	8951	5992
599	8968	5978
600	8985	5965
601	9003	5952
602	9016	5936
603	9030	5920
604	9045	5905
605	9058	5889
606	9072	5874
607	9085	5857
608	9100	5842
609	9114	5827
610	9130	5813
611	9146	5798
612	9159	5782
613	9174	5767
614	9186	5751
615	9202	5736
616	9215	5720
617	9229	5705
618	9245	5690
619	9258	5674
620	9271	5658
621	9286	5643
622	9302	5629
623	9315	5612
624	9327	5596
625	9341	5581
626	9355	5565
627	9369	5550
628	9382	5533
629	9394	5517
630	9407	5501
631	9423	5487
632	9436	5470
633	9449	5455
634	9462	5439
635	9478	5424
636	9491	5408
637	9505	5393
638	9519	5378
639	9533	5362
640	9546	5346
641	9562	5332
642	9577	5317
643	9592	5302
644	9610	5289
645	9627	5275
646	9641	5260
647	9655	5244
648	9668	5228
649	9672	5208
650	9687	5193
651	9701	5178
652	9715	5162
653	9731	5148
654	9743	5132
655	9757	5116
656	9771	5101
657	9783	5084
658	9794	5068
659	9808	5052
660	9821	5037
661	9837	5022
662	9851	5007
663	9864	4991
664	9875	4974
665	9888	4959
666	9901	4943
667	9914	4927
668	9927	4911
669	9940	4895
670	9953	4880
671	9965	4864
672	9980	4849
673	9994	4834
674	10006	4818
675	10019	4802
676	10033	4786
677	10045	4770
678	10058	4755
679	10073	4740
680	10085	4724
681	10099	4708
682	10115	4694
683	10129	4679
684	10154	4669
685	10169	4655
686	10183	4639
687	10196	4624
688	10211	4609
689	10225	4593
690	10238	4578
691	10252	4563
692	10264	4547
693	10277	4531
694	10291	4516
695	10307	4501
696	10319	4486
697	10332	4470
698	10345	4454
699	10351	4436
700	10366	4421
701	10381	4406
702	10395	4391
703	10407	4375
704	10420	4360
705	10432	4344
706	10446	4329
707	10461	4314
708	10474	4298
709	10487	4283
710	10501	4268
711	10513	4252
712	10528	4237
713	10540	4222
714	10557	4208
715	10570	4192
716	10584	4177
717	10603	4164
718	10622	4151
719	10636	4136
720	10649	4120
721	10665	4106
722	10680	4092
723	10693	4076
724	10706	4061
725	10719	4045
726	10732	4030
727	10746	4015
728	10759	3999
729	10772	3984
730	10784	3968
731	10796	3952
732	10809	3937
733	10821	3921
734	10836	3907
735	10850	3891
736	10863	3876
737	10876	3861
738	10889	3846
739	10904	3831
740	10917	3816
741	10930	3800
742	10942	3784
743	10954	3769
744	10967	3753
745	10983	3739
746	10999	3725
747	11014	3710
748	11026	3695
749	11040	3680
750	11054	3665
751	11070	3650
752	11084	3636
753	11097	3620
754	11108	3604
755	11122	3589
756	11135	3574
757	11150	3559
758	11162	3544
759	11175	3529
760	11188	3514
761	11202	3498
762	11217	3484
763	11229	3468
764	11242	3453
765	11256	3438
766	11270	3423
767	11284	3408
768	11299	3394
769	11314	3379
770	11326	3364
771	11339	3348
772	11351	3333
773	11364	3318
774	11379	3303
775	11392	3288
776	11404	3273
777	11416	3257
778	11428	3242
779	11442	3227
780	11455	3212
781	11468	3196
782	11479	3181
783	11492	3166
784	11506	3151
785	11520	3136
786	11534	3121
787	11546	3106
788	11559	3091
789	11571	3076
790	11584	3060
791	11597	3045
792	11610	3030
793	11622	3015
794	11635	3000
795	11648	2985
796	11661	2970
797	11676	2955
798	11688	2940
799	11700	2925
800	11712	2909
801	11724	2894
802	11738	2879
803	11752	2865
804	11770	2851
805	11783	2836
806	11796	2821
807	11809	2806
808	11821	2790
809	11835	2776
810	11850	2761
811	11863	2746
812	11876	2731
813	11889	2716
814	11901	2701
815	11914	2686
816	11928	2671
817	11943	2657
818	11955	2642
819	11968	2627
820	11983	2612
821	12000	2598
822	12007	2582
823	12021	2567
824	12033	2552
825	12048	2538
826	12063	2523
827	12078	2509
828	12091	2494
829	12104	2479
830	12116	2464
831	12120	2447
832	12134	2432
833	12150	2418
834	12164	2403
835	12179	2389
836	12191	2374
837	12203	2359
838	12216	2344
839	12230	2329
840	12243	2314
841	12255	2299
842	12267	2284
843	12279	2269
844	12292	2254
845	12304	2239
846	12318	2225
847	12330	2210
848	12345	2195
849	12359	2181
850	12373	2166
851	12387	2151
852	12400	2137
853	12414	2122
854	12426	2107
855	12439	2092
856	12452	2077
857	12463	2062
858	12476	2047
859	12490	2033
860	12502	2018
861	12515	2003
862	12527	1988
863	12540	1973
864	12552	1959
865	12564	1944
866	12576	1929
867	12587	1914
868	12599	1899
869	12613	1884
870	12628	1870
871	12643	1855
872	12657	1841
873	12669	1826
874	12680	1811
875	12693	1796
876	12706	1782
877	12721	1767
878	12733	1752
879	12745	1738
880	12758	1723
881	12771	1708
882	12782	1693
883	12796	1679
884	12809	1664
885	12824	1650
886	12839	1635
887	12853	1621
888	12870	1606
889	12883	1592
890	12895	1577
891	12907	1562
892	12920	1548
893	12932	1533
894	12947	1518
895	12960	1504
896	12973	1489
897	12986	1475
898	12999	1460
899	13012	1445
900	13027	1431
901	13041	1416
902	13054	1402
903	13067	1387
904	13081	1373
905	13093	1358
906	13107	1343
907	13121	1329
908	13135	1315
909	13148	1300
910	13161	1285
911	13175	1271
912	13191	1256
913	13205	1242
914	13220	1228
915	13233	1213
916	13248	1199
917	13261	1184
918	13275	1170
919	13288	1155
920	13301	1140
921	13316	1126
922	13331	1112
923	13346	1097
924	13365	1083
925	13380	1069
926	13393	1054
927	13406	1040
928	13421	1025
929	13435	1011
930	13448	996
931	13461	982
932	13473	967
933	13487	953
934	13500	938
935	13514	924
936	13528	909
937	13541	895
938	13554	880
939	13568	866
940	13583	851
941	13597	837
942	13609	822
943	13621	808
944	13633	793
945	13648	779
946	13662	764
947	13678	750
948	13692	735
949	13705	721
950	13718	706
951	13732	692
952	13745	677
953	13758	663
954	13772	648
955	13786	634
956	13801	620
957	13817	605
958	13833	591
959	13846	576
960	13858	562
961	13871	547
962	13884	533
963	13901	519
964	13914	504
965	13927	490
966	13940	475
967	13952	461
968	13965	446
969	13980	432
970	14001	418
971	14016	403
972	14030	389
973	14044	374
974	14056	360
975	14072	346
976	14084	331
977	14098	317
978	14112	302
979	14125	288
980	14140	273
981	14154	259
982	14165	244
983	14178	230
984	14191	216
985	14205	201
986	14219	187
987	14235	172
988	14248	158
989	14261	144
990	14275	129
991	14287	115
992	14302	100
993	14315	86
994	14328	72
995	14340	57
996	14353	43
997	14366	28
998	14379	14
999	14392	0
